model,ip_mode,after_task,task_category,accuracy_seen,current_task_recall,detection_rate_seen,ewc_gamma,ewc_lambda,ewc_stability_ratio,fpr_seen,macro_f1_seen,next_task_recall_before_training,retention_normalised,retention_rate,task0_accuracy,task0_macro_f1,train_seconds,train_steps,n_seeds
xgboost_static,none,0,BruteForce,0.999992790298626,1.0,1.0,,,,7.27685523424197e-06,0.999802944543727,0.0,1.0,1.0,0.999992790298626,0.999802944543727,4.317593018213908,1.0,3
xgboost_static,none,1,DoS,0.8592052014645878,0.0,0.0366909361921687,,,,9.812772304431448e-06,0.6410171680414778,0.0,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,3
xgboost_static,none,2,WebAttack,0.872462097367483,0.0,0.036665711830421,,,,8.7415643903633e-06,0.4826879942891085,0.0,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,3
xgboost_static,none,3,Infiltration,0.837798264993424,0.0,0.0253583670925521,,,,3.108510324139914e-05,0.3799587407555534,0.0,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,3
xgboost_static,none,4,Botnet,0.8509115667293009,0.0,0.0253223641986112,,,,2.807736718527904e-05,0.3179280590650015,0.0,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,3
xgboost_static,none,5,PortScan,0.7970506766425447,0.0,0.0161350286266636,,,,2.8971511347175283e-05,0.267816582130757,0.0,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,3
xgboost_static,none,6,DDoS,0.7560142574409623,0.0,0.0126588432034068,,,,2.870895815190867e-05,0.2310787942615667,,1.0,1.0,0.999992790298626,0.999802944543727,0.0,0.0,3
gnn_naive,none,0,BruteForce,0.9999807741296688,1.0,1.0,,,,1.940494729131192e-05,0.9994749249348404,0.0,1.0,1.0,0.9999807741296688,0.9994749249348404,10.30490525563558,970.0,3
gnn_naive,none,1,DoS,0.9938291258556694,0.9998016227261004,0.9998089013739992,,,,0.0009142232863627,0.6593589604069691,0.0,0.0,0.0,0.9907643725396894,0.4999981807795723,7.528085708618164,700.0,3
gnn_naive,none,2,WebAttack,0.9489714399840224,1.0,0.849766065119832,,,,0.0004895276058603,0.4401553967790659,0.0,0.0,0.0,0.9907715822410637,0.4995693093563698,1.668897310892741,180.0,3
gnn_naive,none,3,Infiltration,0.9216612353229544,0.9982353657052452,0.6785797756310377,,,,0.0036097576139074,0.4439673624882229,0.0,0.0,0.0,0.9906273882135802,0.498485442018884,3.3288169701894126,340.0,3
gnn_naive,none,4,Botnet,0.8471435990137083,0.817351598173516,0.0012123098067435,,,,0.0002023910217938,0.2632489368375792,0.0,0.0,0.0,0.990620178512206,0.4976439936995774,1.9553411801656089,200.0,3
gnn_naive,none,5,PortScan,0.8647975523665453,1.0,0.6040019497525632,,,,0.0048081978646922,0.2407735284524113,0.0,0.0,0.0,0.990336596924822,0.498831855295895,4.63585917154948,380.0,3
gnn_naive,none,6,DDoS,0.8614655188978345,1.0,0.8366600876979766,,,,0.0044647746399949,0.2892511832172486,,0.0,0.0,0.9906658399542424,0.4982876672624091,2.278896411259969,200.0,3
gnn_ewc_replay,none,0,BruteForce,0.9999807741296688,1.0,1.0,,,0.0099999997764825,1.940494729131192e-05,0.9994749249348404,0.0,1.0,1.0,0.9999807741296688,0.9994749249348404,9.962191899617514,970.0,3
gnn_ewc_replay,none,1,DoS,0.9991886675994897,0.9987006288559582,0.9987483039996944,,,0.0121619061877329,0.0007359579228323,0.9949380689238204,0.0,1.0,1.0,0.9999903870648345,0.999737310190303,25.20791443188985,700.0,3
gnn_ewc_replay,none,2,WebAttack,0.9990822974418092,1.0,0.998940131767402,,,0.0143103223914901,0.0008960103500121,0.890363762783099,0.0,1.0,1.0,0.9999807741296688,0.9996698565899748,6.283148527145386,180.0,3
gnn_ewc_replay,none,3,Infiltration,0.9991383275780528,0.9990669749705896,0.9996169627090477,,,0.0175269270936647,0.000957162137308,0.9503461421912146,0.0,1.0,1.0,0.9999303062200496,0.999657120749517,10.687989075978598,340.0,3
